2025-04-05, 1001, Laura Herrera DNI 33114523, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
2025-01-23, 1002, Ana Herrera DNI 39810481, SENCILLA, Miguel Torcuato, 12, 120000, MEDIA
2025-07-07, 1003, Carlos Lopez DNI 49143237, SENCILLA, Miguel Torcuato, 10, 100000, MEDIA
2025-01-08, 1004, Marcos Gomez DNI 19337400, SENCILLA, Miguel Torcuato, 5, 50000, BAJA
2025-06-19, 1005, Juan Ruiz DNI 18353329, DOBLE, Miguel Torcuato, 11, 198000, MEDIA
2025-05-18, 1006, Juan Sosa DNI 34816220, SENCILLA, Miguel Torcuato, 12, 120000, MEDIA
2025-07-24, 1007, Lucia Lopez DNI 47109452, DOBLE, Miguel Torcuato, 14, 252000, ALTA
2025-09-16, 1008, Valentina Perez DNI 23280061, SUITE, Miguel Torcuato, 5, 150000, MEDIA
2025-10-22, 1009, Ana Torres DNI 35237768, DOBLE, Miguel Torcuato, 9, 162000, MEDIA
2025-07-05, 1010, Lucia Diaz DNI 22529999, DOBLE, Miguel Torcuato, 8, 144000, MEDIA
2025-08-23, 1011, Pedro Ruiz DNI 46623747, SENCILLA, Miguel Torcuato, 8, 80000, BAJA
2025-11-16, 1012, Carlos Herrera DNI 48968106, DOBLE, Miguel Torcuato, 13, 234000, ALTA
2025-12-05, 1013, Ana Diaz DNI 15065570, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-08-12, 1014, Sofia Gomez DNI 47708633, SUITE, Miguel Torcuato, 12, 360000, ALTA
2025-09-04, 1015, Sofia Ruiz DNI 30539980, SENCILLA, Miguel Torcuato, 2, 20000, BAJA
2025-09-21, 1016, Marcos Perez DNI 16767705, DOBLE, Miguel Torcuato, 15, 270000, ALTA
2025-06-16, 1017, Lucia Lopez DNI 24250642, SUITE, Miguel Torcuato, 7, 210000, ALTA
2025-12-04, 1018, Carlos Ruiz DNI 38396267, DOBLE, Miguel Torcuato, 1, 18000, BAJA
2025-09-22, 1019, Pedro Fernandez DNI 17085230, SENCILLA, Miguel Torcuato, 3, 30000, BAJA
2025-05-19, 1020, Juan Perez DNI 29430057, DOBLE, Miguel Torcuato, 5, 90000, BAJA
2025-10-09, 1021, Lucia Diaz DNI 29230055, DOBLE, Miguel Torcuato, 14, 252000, ALTA
2025-04-10, 1022, Carlos Lopez DNI 40362439, SUITE, Miguel Torcuato, 5, 150000, MEDIA
