Fecha,NumeroReserva,Huesped,TipoHabitacion,Empleado,Noches,Total,Calidad
08/03/2025, 1001, Lucia Perez DNI 12447474, SENCILLA, Miguel Torcuato, 4, 40000, BAJA
23/10/2025, 1002, Diego Diaz DNI 30226758, DOBLE, Miguel Torcuato, 1, 18000, BAJA
07/01/2025, 1003, Diego Mendez DNI 24428843, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
10/03/2025, 1004, Marcos Lopez DNI 49209688, SUITE, Miguel Torcuato, 12, 360000, ALTA
13/10/2025, 1005, Lucia Mendez DNI 33272003, DOBLE, Miguel Torcuato, 4, 72000, BAJA
06/03/2025, 1006, Sofia Gomez DNI 25035558, SUITE, Miguel Torcuato, 2, 60000, BAJA
01/12/2025, 1007, Sofia Gomez DNI 14057214, SENCILLA, Miguel Torcuato, 8, 80000, BAJA
24/04/2025, 1008, Juan Herrera DNI 26095356, SUITE, Miguel Torcuato, 13, 390000, ALTA
13/03/2025, 1009, Carlos Fernandez DNI 12194164, SUITE, Miguel Torcuato, 4, 120000, MEDIA
24/12/2025, 1010, Juan Mendez DNI 10861030, SENCILLA, Miguel Torcuato, 3, 30000, BAJA
16/07/2025, 1011, Lucia Ruiz DNI 39531405, DOBLE, Miguel Torcuato, 10, 180000, MEDIA
09/07/2025, 1012, Valentina Lopez DNI 11181881, DOBLE, Miguel Torcuato, 5, 90000, BAJA
18/06/2025, 1013, Carlos Sosa DNI 16638369, SUITE, Miguel Torcuato, 14, 420000, ALTA
08/06/2025, 1014, Marcos Torres DNI 10707653, DOBLE, Miguel Torcuato, 2, 36000, BAJA
01/04/2025, 1015, Diego Torres DNI 30776243, SENCILLA, Miguel Torcuato, 12, 120000, MEDIA
24/12/2025, 1016, Diego Torres DNI 40845727, SUITE, Miguel Torcuato, 6, 180000, MEDIA
08/05/2025, 1017, Ana Lopez DNI 49313745, DOBLE, Miguel Torcuato, 1, 18000, BAJA
18/09/2025, 1018, Laura Herrera DNI 48014743, SUITE, Miguel Torcuato, 12, 360000, ALTA
15/11/2025, 1019, Laura Diaz DNI 27065362, SENCILLA, Miguel Torcuato, 9, 90000, BAJA
12/02/2025, 1020, Sofia Diaz DNI 26081595, SENCILLA, Miguel Torcuato, 15, 150000, MEDIA
30/03/2025, 1021, Diego Herrera DNI 12297267, SUITE, Miguel Torcuato, 8, 240000, ALTA
26/05/2025, 1022, Carlos Lopez DNI 19307149, SUITE, Miguel Torcuato, 13, 390000, ALTA
03/04/2025, 1023, Laura Herrera DNI 47643350, DOBLE, Miguel Torcuato, 6, 108000, MEDIA
07/05/2025, 1024, Sofia Mendez DNI 47335504, SUITE, Miguel Torcuato, 12, 360000, ALTA
